科目,题面,第1空答案,第2空答案,第3空答案,第4空答案,第5空答案,第6空答案,第7空答案,第8空答案,第9空答案,第10空答案,来源
道法,“要想了解自己，最好问问别人”，这句话告诉我们要通过__________来认识自己。,他人评价,,,,,,,,,,那张卷子T2
道法,我国__________是党的主张和人民意志的统一，是治国安邦的总章程。,宪法,,,,,,,,,,那张卷子T3
道法,__________以来，中国特色社会主义进入新时代，这是我国发展新的历史方位。,改革开放,,,,,,,,,,那张卷子T4
道法,__________是我国的一项基本政治制度，是发展基层民主，社会主义民主政治建设的基础,基层群众自治制度,,,,,,,,,,那张卷子T5
道法,我们不仅要重视书本知识的学习，而且要坚持__________。,在实践中学习,,,,,,,,,,1.生命安全与健康教育主题集训卷T1
道法,__________，是中华民族的传统美德，也是每个中国公民的法定义务。,孝亲敬长,,,,,,,,,,1.生命安全与健康教育主题集训卷T2
道法,__________，要靠坚强的意志、进取的精神和不懈的坚持。,自强不息,,,,,,,,,,1.生命安全与健康教育主题集训卷T3
道法,情绪是短暂的、__________的，会随着情境的改变而变化。,易变,,,,,,,,,,1.生命安全与健康教育主题集训卷T4
道法,__________和法律是调节人们行为的两种主要社会规则。,道德,,,,,,,,,,1.生命安全与健康教育主题集训卷T5
道法,__________是人生发展的一个新阶段，为我们的一生奠定重要基础。,中学时代,,,,,,,,,,主题一：核心要点特训：课时1  成长的节拍，青春的时光T1
道法,少年的梦想，与时代的脉搏紧密相连，与__________密不可分。我们应当成为担当__________的时代新人，为实现名族复兴而奋斗。,中国梦,民族复兴伟业,,,,,,,,,主题一：核心要点特训：课时1  成长的节拍，青春的时光T2
道法,__________是梦想与现实之间的桥梁。,努力,,,,,,,,,,主题一：核心要点特训：课时1  成长的节拍，青春的时光T3
道法,青少年要从小学习__________，早立志，立大志，立长志。,立志,,,,,,,,,,主题一：核心要点特训：课时1  成长的节拍，青春的时光T4
道法,学习不仅表现为接受和掌握，而且表现为__________、__________、__________和__________。,探究,发现,体验,感悟,,,,,,,主题一：核心要点特训：课时1  成长的节拍，青春的时光T5
道法,体味学习，学习中有__________，也有__________。,幸苦,快乐,,,,,,,,,主题一：核心要点特训：课时1  成长的节拍，青春的时光T6
道法,正确认识自己，可以促进__________，可以促进与他人的交往。,自我发展,,,,,,,,,,主题一：核心要点特训：课时1  成长的节拍，青春的时光T7
道法,可以通过__________和__________来认识自己。,自我评价,他人评价,,,,,,,,,主题一：核心要点特训：课时1  成长的节拍，青春的时光T8
道法,我们要学会__________、欣赏自己。,接纳自己,,,,,,,,,,主题一：核心要点特训：课时1  成长的节拍，青春的时光T9
道法,青春期的生理变化表现为__________的变化，__________的完善，__________的成熟。,身体外形,内部器官,性机能,,,,,,,,主题一：核心要点特训：课时1  成长的节拍，青春的时光T10
道法,青春的我们追求美。在追求形体、仪表等__________的同时，我们也要提高品德和文化修养，展现青春的__________。,外在美,内在美,,,,,,,,,主题一：核心要点特训：课时1  成长的节拍，青春的时光T11
道法,独立思考并不等同于一味追求独特，而是表现为__________，有自己独到的见解，同时能接纳他人合理、正确的意见。,不人云亦云,,,,,,,,,,主题一：核心要点特训：课时1  成长的节拍，青春的时光T12
道法,创造离不开__________。__________是创造的源泉,实践,实践,,,,,,,,,主题一：核心要点特训：课时1  成长的节拍，青春的时光T13
道法,我们要__________，__________；有所为，有所不为。需要我们有__________，不断提高辨别“耻”的能力。,知廉耻,懂荣辱,知耻之心,,,,,,,,主题一：核心要点特训：课时1  成长的节拍，青春的时光T14
道法,我们要树立__________，触碰道德底线的事情坚决不做，违反法律的事情坚决不做。,底线意识,,,,,,,,,,主题一：核心要点特训：课时1  成长的节拍，青春的时光T15
道法,我们要养成__________的习惯。通过自省和慎独，端正自己的行为。,自我省察,,,,,,,,,,主题一：核心要点特训：课时1  成长的节拍，青春的时光T16
道法,与异性相处，有助于我们了解异性的__________、__________。,思维方式,情感特征,,,,,,,,,主题一：核心要点特训：课时2  学会交往，融入集体T1
道法,面对生活中可能出现的朦胧的情感，我们应该__________。,慎重对待、理智处理,,,,,,,,,,主题一：核心要点特训：课时2  学会交往，融入集体T2
道法,友谊是一种亲密的关系，友谊是__________、__________，友谊是一种__________。,平等的,双向的,心灵的相遇,,,,,,,,主题一：核心要点特训：课时2  学会交往，融入集体T3
道法,竞争并不必然伤害友谊，关键是我们__________。,对待竞争的态度,,,,,,,,,,主题一：核心要点特训：课时2  学会交往，融入集体T4
道法,呵护友谊，需要学会__________，要给朋友一些空间，把握好彼此的界限和分寸。,尊重对方,,,,,,,,,,主题一：核心要点特训：课时2  学会交往，融入集体T5
道法,“四有”好老师是指有__________、有__________、有__________、有__________的好老师。,理想信念,道德情操,扎实学识,仁爱之心,,,,,,,主题一：核心要点特训：课时2  学会交往，融入集体T6
道法,学生__________，老师__________，师生之间彼此尊重、相互关心、携手共进是师生交往的良好状态。,乐于学习,寓教于乐,,,,,,,,,主题一：核心要点特训：课时2  学会交往，融入集体T7
道法,对待老师的批评，我们要把注意力放在老师批评的内容和用意上，理解老师的__________。,良苦用心,,,,,,,,,,主题一：核心要点特训：课时2  学会交往，融入集体T8
道法,家是我们__________，家中有亲情。亲情，让我们的心灵有所依靠。,心灵的港湾,,,,,,,,,,主题一：核心要点特训：课时2  学会交往，融入集体T9
道法,孝亲敬长是中华民族的__________，也是每个中国公民的__________。,传统美德,法定义务,,,,,,,,,主题一：核心要点特训：课时2  学会交往，融入集体T10
道法,集体的力量是__________，在某种程度上可以影响甚至改变一个人。,强大的,,,,,,,,,,主题一：核心要点特训：课时2  学会交往，融入集体T11
道法,集体生活__________。集体生活可以培养我们负责任的态度和能力，可以培养我们__________的基本态度和能力。,涵养品格,人际交往,,,,,,,,,主题一：核心要点特训：课时2  学会交往，融入集体T12
道法,在集体中，个人利益与集体利益本质上是__________。当个人利益与集体利益发生冲突时，应把集体利益放在个人利益之上，坚持__________。,一致的,集体主义,,,,,,,,,主题一：核心要点特训：课时2  学会交往，融入集体T13
道法,坚持集体主义，不是不关注个人利益，而是在承认个人利益的合理性、保护个人__________的前提下，反对只顾自己、不顾他人的__________。,正当利益,极端个人主义,,,,,,,,,主题一：核心要点特训：课时2  学会交往，融入集体T14
